time,open,high,low,close,Volume,Volume MA
1588262400,8779.33,8795,8614.76,8689.28,1050.34527,996.164665
1588266000,8688.6,8722.76,8407,8557.65,1577.677697,1034.090534
1588269600,8564.73,8736.05,8563.61,8671.27,1429.521673,1074.22829
1588273200,8672.2,8856.97,8664.84,8847.01,1217.757115,1114.166763
1588276800,8845.12,8912.39,8693.21,8823.08,713.0484308,1136.263017
1588280400,8822.59,8855.95,8741.54,8764.47,237.6598036,1130.996942
1588284000,8764.79,8780.2,8632.73,8764.55,440.3543288,1126.477925
1588287600,8769.38,8784.22,8587,8627.32,383.3415193,992.9240149
1588291200,8629.72,8742.39,8616.17,8713.48,245.4650208,940.3342543
1588294800,8718.29,8768.96,8658.9,8665.62,170.773692,899.9652513
1588298400,8660,8737.98,8658.87,8729.77,62.7779311,842.311711
1588302000,8734.91,8744.67,8662.59,8669.7,124.6569122,771.6384576
1588305600,8678.82,8803.3,8677.28,8798.54,237.9755581,755.9521353
1588309200,8790.69,8841.75,8763.02,8812.91,185.2859746,621.919678
1588312800,8813.06,8813.06,8748.5,8759.27,234.4038436,560.95371
1588316400,8764.27,8786.69,8711.13,8780.32,479.9208638,541.095768
1588320000,8781.57,8819.92,8754,8801.5,327.9788777,527.5265773
1588323600,8802.56,8867.92,8777.48,8858.42,502.4049534,533.3164633
1588327200,8860.05,8913.66,8824.18,8905.1,287.5573387,528.5299725
1588330800,8912.13,9075,8884,9015.02,1327.954597,561.84307
1588334400,9007.48,9031.66,8825,8880,972.9972095,557.975667
1588338000,8891.73,8934.15,8776.37,8801.67,810.6478973,519.624177
1588341600,8799.7,8849.78,8714,8825.8,1333.401365,514.8181617
1588345200,8825.8,8870.72,8728.54,8732.67,821.7977821,495.020195
1588348800,8732.51,8765.58,8664.31,8739.12,957.4907274,507.2423098
1588352400,8731.78,8772.39,8686.9,8764.74,451.6843049,517.9435349
1588356000,8766.21,8788.12,8722.55,8747.12,275.2194926,509.6867931
1588359600,8727.01,8773.67,8700.84,8739.46,262.4727441,503.6433543
1588363200,8730.83,8753.41,8672.38,8734.91,428.0312769,512.7716671
1588366800,8737.52,8857.42,8733.95,8844.6,359.5894306,522.2124541
1588370400,8855.69,8870,8805.35,8841.73,199.0334666,529.0252308
1588374000,8840,8905,8806.59,8832.44,320.1644814,538.8006093
1588377600,8836,8856.38,8770.9,8834.2,124.357071,533.1196849
1588381200,8839.26,8840.14,8777.15,8794.97,71.9538047,527.4530764
1588384800,8793.69,8845.46,8760,8822.37,62.12569367,518.8391689
1588388400,8812.93,8866.62,8804.16,8836.64,84.75975274,499.0811134
1588392000,8836.55,8861.27,8793.34,8825.8,75.40298225,486.4523186
