time,open,high,low,close,Volume,Volume MA
1397692800,531.25,535.7499,486.1,498.1,18288,18306.502049227485
1397779200,499,503.9999,474.25,480.044,9725,18561.452049227486
1397865600,480.044,513.9899,473.83,504.999999,9063,17707.302049227488
1397952000,504.99999,517.995,492.2,500.9501,4768,16842.235200923988
1398038400,501.3551,515.646,485,495.39,8167,16250.619775317487
1398124800,499.25,506,488,489.2503,3566,14972.964544440987
1398211200,491.7,496,482.88,491.78,4183,13952.594219542987
1398297600,492.08,504.96,480.16,503.7,5008,13674.851356106989
1398384000,503.7,504.96,441.3,464.33566,30646,14978.463485306487
1398470400,464.33566,469.19,449.8001,460,7832,15222.443155000987
1398556800,459.01,465.6,427.55,429.99,7845,15307.319354887488
1398643200,429.99,450,423.11,441.39,15272,15827.877079644988
1398729600,441.39,454,434,446.53,7559,15997.472549310489
1398816000,446.53,453.9899,432,449.0201,7025,14098.57407183449
1398902400,449.0201,463.53,448.82,459.4102,5131,12419.846225893489
1398988800,461.11993,461.11993,443,452,3752,12070.834184455987
1399075200,451.99,451.9999,430,439.7398,7596,11937.349999999988
1399161600,439.7297,441.4999,429,435.0413,4213,10659.799999999988
1399248000,438.587999,444.4,425.5999,432.389,5430,9720.449999999988
1399334400,431.6,435.39,419.4,429.7,6968,8601.849999999988
1399420800,430,453.6,424.2487,440.43,11184,8246.649999999989
1399507200,440,450.59,437.69,438.5,3449,7932.8499999999885
1399593600,438.2,456.6,438.2,454,3059,7632.649999999989
1399680000,453.99,459.65,448.2,456.09,3646,7576.549999999988
1399766400,456.11,458.4,430,437.97,10717,7704.049999999988
1399852800,437.45,442,431.8,440,3440,7697.749999999988
1399939200,440,440.9,434.01,438.81,2038,7590.499999999988
1400025600,438.81,448,438.47,445,3095,7494.8499999999885
1400112000,444.03,451.4,444,447.58,1648,6044.949999999988
1400198400,447.58,453,443.4,448.6,1713,5738.999999999988
1400284800,448.6,450,446.83,449.03,906,5392.049999999988
1400371200,449.04,449.11,445.5,447.4,781,4667.499999999988
1400457600,447.6,448.5,444.1,447,1419,4360.499999999988
1400544000,446.89,498.68,446,491.35,21171,5067.799999999988
1400630400,490.62,501,489.5,494.99,7201,5171.299999999988
1400716800,495,530,492.25,528.85,17187,5843.049999999988
1400803200,528.85,544.78,521.11,523.57,16704,6298.449999999988
1400889600,523.61,529.75,514.25,528,4534,6314.499999999988
1400976000,528.92,586,528.92,573.99,32268,7656.399999999989
1401062400,574.55,593.3,566.21,586,16374,8126.699999999988
