time,open,high,low,close,Volume,Volume MA
1585778400,6368.5,6630,6368.5,6543.5,30378186.65655,11441588.478572534
1585782000,6543.5,6726.5,6519.5,6674.5,25177067.0061,12381325.631150033
1585785600,6670,6779,6602,6644,49092425.2282,14662977.912010035
1585789200,6643,6666.5,6569.5,6588,8756248.8125,14747468.462790037
1585792800,6594,6642.5,6588.5,6627.5,6515205.811,14530696.640275035
1585796400,6628,6640.5,6596.5,6625,5514771.7091,14495224.990775034
1585800000,6625,6651.5,6605.5,6615.5,4862380.96025,14423095.722740036
1585803600,6615.5,6628,6580.5,6623,5135437.85795,14117362.960535035
1585807200,6623,6665,6606,6653.5,6056304.56885,14036400.823580032
1585810800,6653.5,6698,6628,6662,8265723.60865,14107813.998172533
1585814400,6662,6681,6615.5,6665,7439163.51765,13080821.759655032
1585818000,6664.5,6667.5,6637.5,6653.5,3291759.90705,12455623.933142534
1585821600,6653.5,6731.5,6625.5,6659,18159114.95805,12816515.890007535
1585825200,6659,6718.5,6611,6707.5,15849551.77515,13093615.600122536
1585828800,6706.5,6750,6642,6663.5,26589746.8572,13656410.735537538
1585832400,6663.5,6689.5,6633,6651.5,22506232.49775,14320544.246487537
1585836000,6651.5,6843.5,6645,6788,33638481.93355,15788488.246900037
1585839600,6788,6847,6733.5,6821,21549296.5491,16461616.023677537
1585843200,6821,6930,6802,6925.5,30064091.24525,16946028.955017537
1585846800,6925.5,7284,6925.5,7093.5,80019965.206425,20443057.83331629
1585850400,7094,7101,6727.5,6795,48988591.1551,21373578.05824379
1585854000,6792.5,6868,6711,6806,29447928.31485,21587121.123681284
1585857600,6807,6807.5,6647.5,6745.5,22459308.1327,20255465.268906288
1585861200,6744.5,6849,6710.5,6832,7091929.3816,20172249.29736129
1585864800,6831,6870.5,6780,6847.5,6175905.61975,20155284.28779879
1585868400,6847,6848,6731.5,6795,6534237.86495,20206257.595591288
1585872000,6795,6814.5,6725,6744.5,13677231.716,20647000.13337879
1585875600,6744.5,6810.5,6722.5,6805.5,2176510.6172,20499053.77134129
1585879200,6803.5,6828.5,6775.5,6812,3035080.68505,20347992.57715129
1585882800,6812.5,6829,6776,6784.5,5410887.39115,20205250.766276293
1585886400,6784,6803,6759,6787,3208017.9446,19993693.48762379
1585890000,6787,6797.5,6747.5,6780.5,7043401.54845,20181275.56969379
1585893600,6780.5,6824,6766.5,6802,6356750.7251,19591157.358046286
1585897200,6800,6962,6788.5,6936.5,32551996.97925,20426279.618251286
1585900800,6937,6982,6869,6933,23873513.50445,20290467.95061379
1585904400,6932,6982,6892.5,6966.5,11313379.89655,19730825.320553787
1585908000,6965.5,7055,6913,7023.5,21409353.8616,19119368.916956287
1585911600,7023,7047,6930.5,7007.5,30448446.41245,19564326.410123788
1585915200,7007.5,7023.5,6863,6931,43328574.65715,20227550.580718793
1585918800,6931,6954.5,6826,6849,31351416.47925,17794123.144360043
1585922400,6847,6870,6728,6797.5,22449868.284,16467187.00080504
1585926000,6797,6834.5,6673,6713.5,22483835.40875,16118982.355500042
1585929600,6713.5,6777,6610,6759,32402957.6184,16616164.82978504
1585933200,6760.5,6800,6674,6724,17261292.7062,17124632.99601504
1585936800,6724,6762.5,6681,6749,12636874.0188,17447681.41596754
1585940400,6749.5,6800,6742,6775,13405944.73735,17791266.759587537
1585944000,6777.5,6823,6677.5,6701.5,10043128.98215,17609561.62289504
1585947600,6701,6763,6672.5,6733.5,3360264.59665,17668749.321867537
